epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6265,3.04678,11.8388,1.79117,0.00364,0.20313,0.15994,0.0888,2.83321,13.7798,1.55532,0.000361301,0.000361301,0.000361301
2,46.85,2.99932,8.30449,1.57244,0.61569,0.13239,0.13939,0.05758,3.287,11.1301,1.51963,0.000726805,0.000726805,0.000726805
3,69.5765,3.09271,6.90544,1.58059,0.53107,0.25267,0.25071,0.13012,3.20506,6.8111,1.4898,0.00108742,0.00108742,0.00108742
4,92.1713,2.98205,6.33935,1.57663,0.59322,0.27643,0.29393,0.16708,2.96272,6.32126,1.47575,0.001089,0.001089,0.001089
5,115.15,2.92917,5.92471,1.53679,0.4741,0.33355,0.33464,0.18657,2.95746,5.76672,1.47408,0.00108167,0.00108167,0.00108167
6,138.03,2.86187,5.7507,1.52205,0.41507,0.38803,0.33774,0.20072,2.84666,5.84224,1.46147,0.00107434,0.00107434,0.00107434
7,157.809,2.80441,5.4877,1.51389,0.49834,0.379,0.35897,0.1998,2.86802,4.98075,1.46453,0.001067,0.001067,0.001067
8,176.18,2.79783,5.44751,1.52149,0.45907,0.38903,0.36124,0.21477,2.75162,4.69389,1.43863,0.00105967,0.00105967,0.00105967
9,195.777,2.76649,5.17373,1.50899,0.48743,0.40828,0.37889,0.22062,2.68119,4.60958,1.43058,0.00105234,0.00105234,0.00105234
10,217.157,2.71324,5.05609,1.48943,0.46662,0.42682,0.38379,0.22764,2.77521,4.63763,1.43763,0.00104501,0.00104501,0.00104501
11,239.951,2.71599,5.03561,1.49886,0.50739,0.38074,0.39079,0.22787,2.73789,4.85543,1.42109,0.00103767,0.00103767,0.00103767
12,262.677,2.67982,5.01083,1.48587,0.52192,0.41284,0.40056,0.23376,2.74073,4.41443,1.41537,0.00103034,0.00103034,0.00103034
